DBInstanceIdentifier,DBInstanceClass,Engine,EngineVersion,MultiAZ,StorageType,Iops,AllocatedStorage,MaxCPUUtilization,MaxDatabaseConnections,MaxWriteIOPS,MaxReadIOPS,instanceType,vCPU,Memory,MonthlyCost,GravitonInstanceType,GravitonMonthlyCostSavings,ScaleDownInstanceType,ScaleDownCostSavings,CostSavings-io1-to-gp3,NoConnectionsInstances
ams57-instance-1,db.t3.medium,aurora-mysql,5.7.mysql_aurora.2.11.2,False,aurora,,1,50.86,8.0,4.91,1.22,db.t3.medium,2,4,59.86,db.t4g.medium,6.57,NA,0,,
ams8-instance-1,db.t3.medium,aurora-mysql,8.0.mysql_aurora.3.02.2,False,aurora,,1,58.24,0.0,7.83,0.0,db.t3.medium,2,4,59.86,db.t4g.medium,6.57,NA,0,,ams8-instance-1
ams8-instance-1-us-east-2c,db.t3.medium,aurora-mysql,8.0.mysql_aurora.3.02.2,False,aurora,,1,65.29,0.0,0.0,0.0,db.t3.medium,2,4,59.86,db.t4g.medium,6.57,NA,0,,ams8-instance-1-us-east-2c
apg13-instance-1,db.t3.medium,aurora-postgresql,13.8,False,aurora,,1,60.6,0.0,75.86,0.67,db.t3.medium,2,4,59.86,db.t4g.medium,6.57,NA,0,,apg13-instance-1
apg14-02,db.t3.medium,aurora-postgresql,14.8,False,aurora,,1,92.9,41.0,76247.09,21814.3,db.t3.medium,2,4,59.86,db.t4g.medium,6.57,NA,0,,
apg14-instance-1,db.r6g.2xlarge,aurora-postgresql,14.8,False,aurora,,1,99.76,37.0,382747.61,109594.57,db.r6g.2xlarge,8,64,757.74,NA,0,NA,0,,
apg-14-serverless-instance-1,db.serverless,aurora-postgresql,14.5,False,aurora,,1,100.0,0.0,281.33,0.0,db.serverless,,,,,,,,,
apg-14-serverless-reader01,db.serverless,aurora-postgresql,14.5,False,aurora,,1,100.0,0.0,0.0,0.0,db.serverless,,,,,,,,,
apgauth-instance-1,db.t3.medium,aurora-postgresql,14.6,False,aurora,,1,51.51,0.0,3.49,1.38,db.t3.medium,2,4,59.86,db.t4g.medium,6.57,NA,0,,apgauth-instance-1
apg-ccm-pgwarm-instance-3,db.r6i.16xlarge,aurora-postgresql,14.6,False,aurora,,1,2.55,0.0,0.0,4.39,db.r6i.16xlarge,64,512,6774.4,db.r6g.16xlarge,711.0200000000004,db.r6i.4xlarge,5080.799999999999,,apg-ccm-pgwarm-instance-3
apg-ccm-pgwarm-instance-4,db.r6i.16xlarge,aurora-postgresql,14.6,False,aurora,,1,77.57,501.0,133179.65,106395.58,db.r6i.16xlarge,64,512,6774.4,db.r6g.16xlarge,711.0200000000004,NA,0,,
apg-opt-io-instance-1,db.r6g.xlarge,aurora-postgresql,14.7,False,aurora-iopt1,,1,56.51,3.0,13.76,3.85,db.r6g.xlarge,4,32,492.75000000000006,NA,0,NA,0,,
maria10,db.t3.micro,mariadb,10.6.10,False,gp2,,19,37.32,0.0,1.48,2.65,db.t3.micro,2,1,12.41,db.t4g.micro,0.7300000000000004,NA,0,,maria10
mysql8,db.t3.micro,mysql,8.0.32,False,gp2,,20,60.66,2.0,3.04,2.58,db.t3.micro,2,1,12.41,db.t4g.micro,0.7300000000000004,NA,0,,
pg-12,db.t3.micro,postgres,12.14,False,gp2,,20,48.21,2.0,18.72,11.33,db.t3.micro,2,1,13.139999999999999,db.t4g.micro,1.459999999999999,NA,0,,
pg13,db.t3.micro,postgres,13.6,True,io1,3000,100,6.53,1.0,10.82,3.02,db.t3.micro,2,1,26.279999999999998,db.t4g.micro,2.919999999999998,NA,0,600.0,
pg14,db.t3.micro,postgres,14.7,False,gp2,,20,82.53,5.0,881.9,771.48,db.t3.micro,2,1,13.139999999999999,db.t4g.micro,1.459999999999999,NA,0,,
pg15,db.t3.small,postgres,15.2,False,gp2,,1200,53.37,1.0,296.62,46.37,db.t3.small,2,2,26.279999999999998,db.t4g.small,2.919999999999998,NA,0,,
pg152,db.t3.micro,postgres,15.2,False,gp2,,20,45.3,0.0,18.55,5.96,db.t3.micro,2,1,13.139999999999999,db.t4g.micro,1.459999999999999,NA,0,,pg152
pg-nowarm,db.r6i.16xlarge,postgres,14.7,True,gp3,12000,1000,3.93,501.0,2111.05,12074.0,db.r6i.16xlarge,64,512,11680.0,db.r6g.16xlarge,1177.4899999999998,db.r7g.4xlarge,8887.75,,
pg-warm,db.r6i.16xlarge,postgres,14.6,True,gp3,12000,1000,1.69,0.0,265.66,9081.39,db.r6i.16xlarge,64,512,11680.0,db.r6g.16xlarge,1177.4899999999998,db.r7g.4xlarge,8887.75,,pg-warm
sqlent,db.m6i.xlarge,sqlserver-ee,15.00.4043.16.v1,False,gp2,,100,32.59,10.0,1833.0,29.0,db.m6i.xlarge,4,16,1705.28,NA,0,db.m5.large,992.0699999999999,,
sqlstd,db.m6i.large,sqlserver-se,15.00.4236.7.v1,True,gp2,,20,30.69,3.0,25.0,43.0,db.m6i.large,2,8,1426.42,NA,0,NA,0,,
sqlweb,db.t3.medium,sqlserver-ex,15.00.4073.23.v1,False,gp2,,50,10.53,0.0,36.0,74.0,db.t3.medium,2,4,121.18,NA,0,db.t3.small,19.709999999999994,,sqlweb
